Method1,Method2,Wilcoxon_stat,p_value,Significant,Cliff's_delta,Effect_size
Banzhaf,Myerson,13.0,0.04248046875,✓,0.2777777777777778,small
Banzhaf,Owen-Data,0.0,0.00048828125,✓,-0.6111111111111112,large
Banzhaf,Owen-Domain,0.0,0.00048828125,✓,-0.5138888888888888,large
Banzhaf,Owen-Model,23.0,0.2333984375,✗,0.1527777777777778,small
Banzhaf,R-Myerson,0.0,0.00048828125,✓,-0.7222222222222222,large
Banzhaf,SHAP,22.0,0.20361328125,✗,-0.2222222222222222,small
Myerson,Owen-Data,0.0,0.00048828125,✓,-0.6666666666666666,large
Myerson,Owen-Domain,0.0,0.00048828125,✓,-0.5277777777777778,large
Myerson,Owen-Model,38.0,0.955078125,✗,-0.09722222222222222,negligible
Myerson,R-Myerson,0.0,0.00048828125,✓,-0.8055555555555556,large
Myerson,SHAP,0.0,0.00048828125,✓,-0.3888888888888889,medium
Owen-Data,Owen-Domain,10.0,0.01953125,✓,0.25,small
Owen-Data,Owen-Model,0.0,0.00048828125,✓,0.6111111111111112,large
Owen-Data,R-Myerson,0.0,0.00048828125,✓,-0.3194444444444444,small
Owen-Data,SHAP,0.0,0.00048828125,✓,0.5,large
Owen-Domain,Owen-Model,0.0,0.00048828125,✓,0.5,large
Owen-Domain,R-Myerson,0.0,0.00048828125,✓,-0.4861111111111111,large
Owen-Domain,SHAP,0.0,0.00048828125,✓,0.5,large
Owen-Model,R-Myerson,0.0,0.00048828125,✓,-0.6944444444444444,large
Owen-Model,SHAP,0.0,0.00048828125,✓,-0.4444444444444444,medium
R-Myerson,SHAP,0.0,0.00048828125,✓,0.5277777777777778,large
